"mac_Id","ts","Acc_Angle","Acceleration_y","Acceleration_Z","Aceeleration_x","Device_ID","Gyro_x","Gyro_y","Gyro_z","time","Velocity"
"2c:3a:e8:03:e2:03","1661180526292","54.01931","1.628057122","8.693346024","'-6.098031521","ESP8266_1","68.87028503","'-34.01529312","'-300.5346069","32843","1961918.25"
"2c:3a:e8:03:e2:03","1661180526462","63.79375458","3.579331636","9.414001465","2.942473888","ESP8266_1","115.7558136","'-69.90844727","'-85.87792969","33007","1982072.75"
"2c:3a:e8:03:e2:03","1661180526634","83.64605713","1.031900883","9.282320023","'-0.059855044","ESP8266_1","'-26.77864647","14.96184349","42.73286057","33174","2007446"
"2c:3a:e8:03:e2:03","1661180526800","83.24395752","1.024718285","9.337387085","0.416591108","ESP8266_1","'-45.96950531","22.36643028","16.68703651","33343","2019846.125"
"2c:3a:e8:03:e2:03","1661180527011","55.47921753","'-0.117315881","10.19690514","7.012616634","ESP8266_1","'-25.37406731","'-31.83208847","13.22138596","33557","2049539.25"
"2c:3a:e8:03:e2:03","1661180527190","70.09752655","3.768473387","10.86488724","'-1.127668977","ESP8266_1","'-60.62600327","'-71.75577545","63.14509201","33732","2078930.25"
"2c:3a:e8:03:e2:03","1661180527360","70.29127502","'-0.574608386","6.710947514","'-2.334346771","ESP8266_1","'-9.984740257","'-75.60311127","30.9313221","33903","2097066"
"2c:3a:e8:03:e2:03","1661180527530","39.42071533","'-4.247313976","7.979874134","8.729259491","ESP8266_1","40.71758652","'-33.23666763","'-54.3817215","34075","2122808.25"
"2c:3a:e8:03:e2:03","1661180527701","51.12391281","'-0.234631762","6.54574728","'-5.272032261","ESP8266_1","'-14.62596798","52.58019638","24.29009628","34244","2150723"
"2c:3a:e8:03:e2:03","1661180527871","71.05400848","'-0.533906996","8.492233276","2.865859509","ESP8266_1","38.09163284","13.48092747","'-53.80156708","34414","2174627"
"2c:3a:e8:03:e2:03","1661180528048","81.99649048","0.950498104","9.057265282","0.847547412","ESP8266_1","'-18.90077782","43.58782196","'-2.625956297","34583","2199989.5"
"2c:3a:e8:03:e2:03","1661180528212","82.25210571","1.098938584","10.14662647","0.835576415","ESP8266_1","'-34.77865601","35.37407303","'-36.24430084","34761","2226791"
"2c:3a:e8:03:e2:03","1661180528387","68.74440765","1.544260144","11.45625496","4.180276394","ESP8266_1","'-28.18322945","15.60306549","'-54.96187973","34923","2253740.5"
"2c:3a:e8:03:e2:03","1661180528555","72.6807251","5.133168221","16.48647308","0.284909993","ESP8266_1","110.5497131","'-85.58785248","'-196.9619904","35093","2280034.25"
"2c:3a:e8:03:e2:03","1661180528722","59.08062363","0.641646028","7.041347027","'-4.168305397","ESP8266_1","'-41.70995712","'-107.4962692","68.88555145","35269","2300991.75"
"2c:3a:e8:03:e2:03","1661180528909","39.36023712","'-5.35104084","10.19211674","11.21444035","ESP8266_1","'-57.89318085","'-45.6794281","'-130.412323","35453","2328712.5"
"2c:3a:e8:03:e2:03","1661180529072","29.33497047","4.307168961","4.800374508","'-7.376535416","ESP8266_1","'-80.0306015","73.19090271","203.0383301","35622","2358274"
"2c:3a:e8:03:e2:03","1661180529241","67.01054382","3.591302633","9.639056206","1.956062794","ESP8266_1","'-22.25955963","48.07637024","'-41.38934708","35787","2382240.5"
"2c:3a:e8:03:e2:03","1661180529411","79.78071594","1.606509328","9.378087997","0.526724398","ESP8266_1","'-11.87787247","40.12216949","'-15.08398151","35954","2407575.5"
"2c:3a:e8:03:e2:03","1661180529571","79.57104492","0","9.911994934","1.824381709","ESP8266_1","'-44.21377563","44.12217331","'-46.09164047","36122","2434609"
"2c:3a:e8:03:e2:03","1661180529742","46.80194473","'-2.336740971","12.17451572","11.19049835","ESP8266_1","'-145.542099","'-58.9466095","'-186.8856506","36289","2469817"
"2c:3a:e8:03:e2:03","1661180529905","47.46656418","0.598550439","6.964732647","'-6.361393929","ESP8266_1","'-158.8703461","'-79.87792206","201.3283997","36454","2503461.25"
"2c:3a:e8:03:e2:03","1661180530062","50.19645309","1.04147768","5.729324818","'-4.659116745","ESP8266_1","'-30.41223717","'-91.08403778","77.63365173","36616","2520515.25"
"2c:3a:e8:03:e2:03","1661180530236","59.63614273","0.919373453","9.21528244","5.319916248","ESP8266_1","41.72521973","27.26719856","109.3741379","36781","2549532.75"
"2c:3a:e8:03:e2:03","1661180530409","64.87973022","1.45088625","8.7843256","3.854664803","ESP8266_1","62.38172913","21.12978745","'-74.53440094","36943","2573313.5"
"2c:3a:e8:03:e2:03","1661180530573","88.14528656","0.299275219","9.773131371","0.10295067","ESP8266_1","'-27.40460205","49.69469452","'-24.4427681","37121","2598938.25"
"2c:3a:e8:03:e2:03","1661180530749","77.36213684","1.419761658","9.658209801","1.63523972","ESP8266_1","'-37.08399963","42.19850922","'-24.15269279","37287","2624662.75"
"2c:3a:e8:03:e2:03","1661180530903","62.71185303","3.500322819","12.63659668","5.499481201","ESP8266_1","14.580163","7.068707943","'-34.51911545","37453","2652590.5"
"2c:3a:e8:03:e2:03","1661180531072","87.9773941","0.14844051","15.23430538","'-0.517147541","ESP8266_1","73.2061615","'-73.08402252","'-155.8016663","37613","2675666"
"2c:3a:e8:03:e2:03","1661180531249","48.54855347","2.851494312","7.757213593","'-6.229712963","ESP8266_1","'-22.93131638","'-105.6336746","68.41226959","37784","2696559.75"
"2c:3a:e8:03:e2:03","1661180531426","24.43655586","8.216899872","7.603984833","14.5782938","ESP8266_1","93.26725006","'-94.7939682","'-337.2979736","37963","2722968.75"
"2c:3a:e8:03:e2:03","1661180531598","73.83597565","2.509123325","9.344569206","'-1.019929886","ESP8266_1","101.3130646","46.24431229","'-214.1375732","38141","2744794.5"
"2c:3a:e8:03:e2:03","1661180531763","69.49098206","3.529053211","9.550470352","'-0.555454791","ESP8266_1","'-40.7023201","10.03054237","'-44.70232773","38304","2769101.25"
"2c:3a:e8:03:e2:03","1661180531922","68.66272736","2.085349798","8.432378769","2.549824715","ESP8266_1","'-65.66416931","'-0.610687494","'-88.7328949","38474","2793842.75"
"2c:3a:e8:03:e2:03","1661180532080","75.02775574","0.648828685","9.457097054","2.444479942","ESP8266_1","'-53.52676392","'-26.97711945","'-113.2214661","38635","2820232.25"
"2c:3a:e8:03:e2:03","1661180532241","78.26522827","'-1.879448295","9.071630478","0.136469498","ESP8266_1","'-115.9390335","'-20.27482605","'-119.8474197","38792","2847947.75"
"2c:3a:e8:03:e2:03","1661180532414","46.36865616","7.307103634","8.35097599","3.16034627","ESP8266_1","'-8.305350304","'-47.57255554","'-222.320816","38956","2869675.75"
"2c:3a:e8:03:e2:03","1661180532586","74.51828003","1.733402014","9.066842079","1.817199111","ESP8266_1","'-52.76339722","'-9.938939095","'-105.0993195","39125","2894220.75"
"2c:3a:e8:03:e2:03","1661180532738","51.33465195","0.658405483","8.135497093","6.476315498","ESP8266_1","'-42.65652847","'-1.786261082","'-139.1756744","39298","2916740.5"
"2c:3a:e8:03:e2:03","1661180532914","72.02107239","'-0.143652096","10.23521233","'-3.318363667","ESP8266_1","16.83970833","26.53437233","'-50.01530838","39456","2941542.5"
"2c:3a:e8:03:e2:03","1661180533072","61.5631218","3.004723072","8.365341187","3.390189648","ESP8266_1","7.022906303","4.412217617","'-34.47330856","39629","2966404.5"
"2c:3a:e8:03:e2:03","1661180533251","77.84832001","1.484405041","9.06205368","1.26653266","ESP8266_1","'-25.49620247","24.83971405","'-30.09162521","39782","2992181.5"
"2c:3a:e8:03:e2:03","1661180533412","81.02417755","1.496376038","9.670180321","0.306457818","ESP8266_1","'-23.48093414","24.12215614","'-35.23667145","39962","3017904.75"
"2c:3a:e8:03:e2:03","1661180533580","78.7064209","1.30005157","9.737217903","1.446097851","ESP8266_1","'-24.8702507","26.48857117","'-45.89316559","40123","3044682.25"
"2c:3a:e8:03:e2:03","1661180533741","48.35658646","'-5.382165432","10.86488724","8.0229702","ESP8266_1","'-97.12985229","'-68.01531982","'-175.9696198","40295","3075671.5"
"2c:3a:e8:03:e2:03","1661180533911","63.34736252","3.780444384","9.756371498","'-3.112462282","ESP8266_1","'-112.5649796","'-75.05349731","173.7558594","40453","3109337.75"
"2c:3a:e8:03:e2:03","1661180534081","54.6506958","1.721431017","6.485892296","'-4.266467571","ESP8266_1","'-43.28248215","'-89.41992188","32.82445526","40624","3126317.5"
"2c:3a:e8:03:e2:03","1661180534254","43.89526749","'-0.138863698","6.792350292","7.058106422","ESP8266_1","50.50386047","13.29771996","142.0917053","40795","3153586.75"
"2c:3a:e8:03:e2:03","1661180534450","78.40884399","'-1.304839969","16.0459404","3.021482468","ESP8266_1","55.25194931","64.94661713","'-139.4352264","40964","3175145.75"
"2c:3a:e8:03:e2:03","1661180534590","77.17760468","1.429338455","8.851364136","'-1.419761658","ESP8266_1","'-10.39695549","57.25195313","2.488551855","41134","3201338.75"
"2c:3a:e8:03:e2:03","1661180534763","76.90338898","2.22900176","9.844957352","'-0.526724398","ESP8266_1","'-37.55727768","39.95422745","'-43.29774857","41302","3226413.5"
"2c:3a:e8:03:e2:03","1661180534940","74.61875916","2.286462545","10.64940929","1.831564307","ESP8266_1","'-22.77864265","27.69467926","'-25.31299782","41474","3253647"
"2c:3a:e8:03:e2:03","1661180535103","51.85229111","3.339911461","7.812280178","'-5.147533417","ESP8266_1","49.2519455","'-89.06877136","129.4046936","41651","3280678.25"
"2c:3a:e8:03:e2:03","1661180535272","59.80770111","2.765302896","7.934384346","'-3.696647406","ESP8266_1","'-23.35879707","'-116.6565857","92.21381378","41814","3302210.5"
"2c:3a:e8:03:e2:03","1661180535461","70.10338593","'-0.70628953","13.26866627","4.750096321","ESP8266_1","0.595420301","'-41.95423126","'-68.93135071","42012","3324184"
"2c:3a:e8:03:e2:03","1661180535632","62.92635727","'-0.945709646","8.343792915","4.158728123","ESP8266_1","'-252.2597351","70.29013062","'-54.21378326","42174","3357131.75"
"2c:3a:e8:03:e2:03","1661180535803","74.92742157","'-2.123656988","8.24802494","0.651222885","ESP8266_1","34.0000267","42.09163666","12.32062054","42345","3384368.25"
"2c:3a:e8:03:e2:03","1661180535972","83.46916199","0.940921247","9.193734169","0.471657723","ESP8266_1","'-24.32062912","57.55730057","'-52.4580574","42518","3409702.25"
